MAE,RMSE,sMAPE,MASE,model,horizon,series_id,seasonality_strength
266.4714285714287,270.9357620227666,2.3465904878678585,0.8900632559768433,Naive,7,T1388,0.9916375250015166
384.6285714285715,415.89853501614,3.3614712439059975,1.2847297005264848,Naive,14,T1388,0.9916375250015166
432.27142857142877,457.8841665749104,3.8405774455700805,1.4438655477726532,SeasonalNaive,7,T1388,0.9916375250015166
550.4285714285716,590.5373775517637,4.855075590863217,1.8385319923222947,SeasonalNaive,14,T1388,0.9916375250015166
258.67717367607867,263.18765899385005,2.2771480958168637,0.8640290206096204,AutoETS,7,T1388,0.9916375250015166
374.09867701950276,405.30859552281083,3.267688899340731,1.2495579293798615,AutoETS,14,T1388,0.9916375250015166
271.77156513274997,277.4314430488964,2.3938751313668045,0.9077666804309475,AutoTheta,7,T1388,0.9916375250015166
383.8804358187508,414.38870300236215,3.3548606064695554,1.282230790904695,AutoTheta,14,T1388,0.9916375250015166
382.9285714285722,409.87921740086244,2.621995820501035,1.065787146024151,Naive,7,T1540,0.9901854328675375
506.24285714285764,544.058544643865,3.4491922961705326,1.4090020180435667,Naive,14,T1540,0.9901854328675375
534.0714285714288,566.0200034324886,3.680812303544443,1.4864559766503571,SeasonalNaive,7,T1540,0.9901854328675375
657.3857142857142,695.3952391060989,4.50783259491414,1.8296708486697728,SeasonalNaive,14,T1540,0.9901854328675375
368.4837898604146,395.4435396286513,2.5216667888919946,1.0255836624735888,AutoETS,7,T1540,0.9901854328675375
479.15169757910775,515.7339208913786,3.2611700475392325,1.3336004633196208,AutoETS,14,T1540,0.9901854328675375
385.4874921298363,414.0775700224466,2.6397974238585027,1.0729092700822436,AutoTheta,7,T1540,0.9901854328675375
500.6859518745713,538.5783960796066,3.410620985514006,1.3935357440475606,AutoTheta,14,T1540,0.9901854328675375
57.58571428571356,62.18707950324387,0.4117892822355987,0.41658022796730154,Naive,7,T3573,0.9909406137500104
121.84285714285657,142.45158074638113,0.8682049333184578,0.8814221692714322,Naive,14,T3573,0.9909406137500104
137.11428571428561,141.04872511704187,0.9840258732107379,0.9918970548325994,SeasonalNaive,7,T3573,0.9909406137500104
